id,description_polarity
37207723,0.9931
7072278,0.9931
21504876,0.9931
43802832,0.9931
28334989,0.9931
18077353,0.9931
2593164,0.9931
26107494,0.9931
23461847,0.9931
4423410,0.993
5942991,0.993
23773385,0.993
42223534,0.993
32965152,0.993
47075688,0.993
28103362,0.993
33097080,0.9929
22230917,0.9929
47798592,0.9929
2223363,0.9929
43787557,0.9928
35881298,0.9928
31283714,0.9928
20401239,0.9928
43485497,0.9928
45396220,0.9928
33709009,0.9928
43726073,0.9928
28489106,0.9928
21065274,0.9928
24446593,0.9928
45564505,0.9928
35685236,0.9928
16063953,0.9928
35881073,0.9927
27748713,0.9927
732562,0.9927
35879019,0.9927
31264465,0.9927
36585937,0.9927
20725088,0.9927
20904045,0.9927
47803918,0.9927
35636454,0.9927
47114049,0.9927
47114369,0.9927
24269230,0.9927
6834011,0.9927
37933477,0.9926
4282372,0.9926
26275695,0.9926
18908837,0.9926
22012565,0.9926
15131764,0.9926
13926487,0.9926
12812398,0.9926
33416429,0.9926
4030789,0.9926
46278782,0.9926
35033762,0.9925
1762021,0.9925
33969116,0.9925
28221123,0.9925
27020390,0.9925
23625512,0.9925
6845207,0.9925
46357262,0.9925
27307483,0.9925
39171638,0.9925
11720805,0.9924
35959351,0.9924
29462050,0.9924
40426148,0.9924
26741649,0.9924
4925824,0.9924
4923561,0.9924
48001989,0.9924
1009656,0.9924
42791185,0.9924
15178135,0.9923
28276172,0.9923
47813426,0.9923
47979953,0.9923
46318258,0.9923
23993391,0.9923
15516491,0.9923
21515854,0.9923
21943134,0.9923
17919847,0.9922
17680070,0.9922
42537150,0.9922
30010281,0.9922
45691369,0.9922
47922659,0.9922
6323553,0.9922
29456588,0.9922
6710966,0.9922
17404932,0.9922
43007752,0.9922
14741990,0.9922
19142506,0.9921
31862319,0.9921
655522,0.9921
10410738,0.9921
4032618,0.9921
15758249,0.9921
1711196,0.9921
34600915,0.9921
45975564,0.9921
29653958,0.9921
39462865,0.9921
820177,0.9921
6925159,0.992
4757091,0.992
36478288,0.992
20964223,0.992
15266412,0.992
22431630,0.992
14095037,0.992
42564688,0.992
47872083,0.992
21849711,0.992
29548177,0.9919
15058542,0.9919
33636404,0.9919
39645435,0.9919
1162890,0.9919
24447394,0.9919
27384037,0.9919
45990316,0.9918
36570715,0.9918
23377937,0.9918
46355747,0.9918
14913091,0.9918
39413826,0.9918
34019097,0.9918
28604366,0.9918
46263373,0.9918
539936,0.9918
1822789,0.9917
10735384,0.9917
9050649,0.9917
28981677,0.9917
23784951,0.9917
31234787,0.9917
37597307,0.9917
33684559,0.9917
16479794,0.9917
24515375,0.9917
48069011,0.9916
41525440,0.9916
6778930,0.9916
13126966,0.9916
4475463,0.9916
30538061,0.9916
43053360,0.9916
43042546,0.9916
39924793,0.9916
41983496,0.9916
46118044,0.9916
26688311,0.9916
45972728,0.9916
32189856,0.9916
21810373,0.9916
30091882,0.9915
46595823,0.9915
22094707,0.9915
38571700,0.9915
24114474,0.9915
28615622,0.9915
19051758,0.9915
34468624,0.9915
6090076,0.9915
22859079,0.9914
40256116,0.9914
21009272,0.9914
21834772,0.9914
15706398,0.9914
24969904,0.9914
12318667,0.9914
34422215,0.9914
21755295,0.9914
32790014,0.9914
46038709,0.9914
13435785,0.9914
35181518,0.9914
44182172,0.9914
47424236,0.9914
41747359,0.9914
16897190,0.9914
30015439,0.9914
17223256,0.9913
29909089,0.9913
24113998,0.9913
46724158,0.9913
45534018,0.9913
29673839,0.9913
18819132,0.9913
43948056,0.9913
43457429,0.9913
29884067,0.9913
35249496,0.9913
45347586,0.9913
46514996,0.9913
33971982,0.9913
40563388,0.9913
32158662,0.9913
14807313,0.9913
154743,0.9913
1978673,0.9913
21784631,0.9913
30930645,0.9913
32931899,0.9913
239449,0.9913
42693850,0.9913
21813181,0.9913
2634306,0.9912
45137949,0.9912
6085693,0.9912
5261334,0.9911
12797045,0.9911
27462315,0.9911
46085046,0.9911
33747622,0.9911
38437485,0.9911
1545555,0.9911
38780254,0.9911
47537442,0.9911
7558765,0.991
24094353,0.991
46532680,0.991
31512797,0.991
13992933,0.991
32167605,0.991
46728526,0.991
5190037,0.991
35707843,0.991
1562481,0.991
34055958,0.991
38404837,0.991
24781127,0.991
32643640,0.991
24159515,0.991
15698833,0.991
35069105,0.991
30441819,0.991
11103657,0.9909
16880057,0.9909
41432957,0.9909
33286576,0.9909
27931137,0.9909
30244600,0.9909
4616263,0.9909
30156917,0.9909
32455588,0.9909
1179469,0.9909
47359814,0.9908
15851389,0.9908
42375237,0.9908
23056582,0.9908
41560898,0.9908
3348401,0.9908
7816380,0.9908
24041876,0.9908
25517982,0.9908
45402080,0.9908
21447146,0.9908
44118906,0.9908
43930034,0.9908
30397719,0.9908
9139993,0.9908
27509767,0.9908
47448796,0.9908
44084836,0.9908
13442888,0.9907
27834504,0.9907
31772245,0.9907
39501728,0.9907
33108832,0.9907
48046083,0.9907
48045571,0.9907
7048865,0.9907
7387870,0.9907
2806584,0.9907
34708269,0.9907
734305,0.9906
26134370,0.9906
756619,0.9906
39749517,0.9906
37755972,0.9906
23312923,0.9906
45642392,0.9906
20704395,0.9906
29078992,0.9906
22229540,0.9906
16996346,0.9906
11412429,0.9906
24558138,0.9906
30745932,0.9906
20636976,0.9906
37793772,0.9906
33489918,0.9906
1326015,0.9906
46779678,0.9906
37972691,0.9906
4828239,0.9905
26667489,0.9905
27434650,0.9905
39434349,0.9905
1057144,0.9905
14926486,0.9905
32528065,0.9905
28246537,0.9905
33390655,0.9905
29338921,0.9905
6523654,0.9905
22626940,0.9905
31375026,0.9905
44152416,0.9905
46942290,0.9904
24501239,0.9904
44504094,0.9904
27102693,0.9904
5642672,0.9904
11675421,0.9904
23164401,0.9904
13307078,0.9904
31549262,0.9904
14233661,0.9904
27000386,0.9904
47964980,0.9904
4205524,0.9904
1830535,0.9904
16854744,0.9904
30401659,0.9904
20647841,0.9903
20744028,0.9903
7095684,0.9903
23007543,0.9903
3833838,0.9903
18786610,0.9903
17668317,0.9903
2316010,0.9903
27679855,0.9903
7010281,0.9903
36592975,0.9903
6273842,0.9903
31767955,0.9903
40869210,0.9903
46548515,0.9902
44293608,0.9902
46874789,0.9902
17192041,0.9902
3749722,0.9902
47938999,0.9902
47953990,0.9902
5329665,0.9902
20800847,0.9902
14298268,0.9902
19759715,0.9902
47803409,0.9902
42988644,0.9902
45205271,0.9902
40405431,0.9902
47796389,0.9902
21550842,0.9902
18025071,0.9902
41526825,0.9902
47800947,0.9902
30146820,0.9902
35878019,0.9901
44698145,0.9901
6812686,0.9901
13169917,0.9901
47837871,0.9901
18923975,0.9901
19869520,0.9901
38158483,0.9901
45432106,0.9901
13083421,0.9901
20665369,0.9901
8606440,0.9901
9544829,0.9901
9575642,0.9901
30956947,0.9901
41750957,0.9901
46644580,0.9901
37065294,0.9901
22451585,0.9901
25511387,0.9901
34230276,0.9901
17904634,0.9901
45043329,0.99
45205952,0.99
48032245,0.99
24157869,0.99
18094897,0.99
3942993,0.99
4603634,0.99
39485262,0.99
16309682,0.99
43461876,0.9899
23756166,0.9899
47581347,0.9899
32474211,0.9899
37254652,0.9899
45318183,0.9899
18356130,0.9899
27084537,0.9899
43461912,0.9899
22733995,0.9899
42226476,0.9899
28411992,0.9899
43461501,0.9899
5571045,0.9899
47550671,0.9899
47550501,0.9899
38162453,0.9899
19532349,0.9899
47549825,0.9899
39095600,0.9899
31882289,0.9898
23145201,0.9898
35317098,0.9898
13965660,0.9898
22079389,0.9898
29941485,0.9898
45736462,0.9898
20138514,0.9898
21787818,0.9898
4662790,0.9898
26606151,0.9898
46767473,0.9898
779670,0.9897
6868063,0.9897
16392995,0.9897
45504439,0.9897
20817533,0.9897
23596951,0.9897
45951890,0.9896
26449340,0.9896
43261252,0.9896
27762977,0.9896
45151699,0.9896
42796365,0.9896
36606910,0.9896
34676065,0.9896
30998857,0.9896
23769586,0.9896
701230,0.9896
21504026,0.9896
3001121,0.9896
45608186,0.9896
42243131,0.9896
27831815,0.9896
33875212,0.9895
32551600,0.9895
23613309,0.9895
8670226,0.9895
2988568,0.9895
29684417,0.9895
29765110,0.9895
13219522,0.9895
42533215,0.9895
33526205,0.9894
43256945,0.9894
21385731,0.9894
44182082,0.9894
33578570,0.9894
8547080,0.9894
46788345,0.9894
8357261,0.9894
31900559,0.9894
5127047,0.9894
29593171,0.9894
34026781,0.9894
47269353,0.9894
19870812,0.9894
16663974,0.9893
1052904,0.9893
37967222,0.9893
17827344,0.9893
19326272,0.9893
31284205,0.9893
45976082,0.9893
43178198,0.9893
28156095,0.9892
21411007,0.9892
593324,0.9892
45363965,0.9892
1037034,0.9892
43461809,0.9892
36757807,0.9892
15328698,0.9892
3159794,0.9892
12950119,0.9892
43536528,0.9892
43461958,0.9892
43536575,0.9892
18221674,0.9891
47113229,0.9891
23324168,0.9891
15649505,0.9891
36108976,0.9891
22904996,0.9891
14944151,0.9891
8062267,0.9891
7938604,0.9891
20036982,0.9891
12742291,0.9891
14286759,0.9891
21785403,0.9891
44362906,0.9891
2807413,0.989
31195264,0.989
6207209,0.989
3946492,0.989
21962917,0.989
23013595,0.989
24599021,0.989
30166649,0.989
19734408,0.989
45714228,0.9889
8355488,0.9889
42237372,0.9889
13799890,0.9889
2062078,0.9889
40061764,0.9889
5669029,0.9889
19654560,0.9889
45714301,0.9889
9878812,0.9889
14497546,0.9889
31120311,0.9889
48082242,0.9889
37305909,0.9889
37855984,0.9889
34649647,0.9889
44540297,0.9889
82694,0.9889
6885500,0.9889
26925372,0.9889
21059702,0.9889
3344276,0.9889
15453354,0.9888
1992288,0.9888
43440170,0.9888
27029126,0.9888
19506037,0.9888
47981350,0.9888
6445326,0.9888
19156440,0.9888
27660408,0.9888
31240134,0.9888
36757536,0.9888
35030832,0.9888
34545171,0.9888
43499456,0.9888
19038269,0.9888
6421444,0.9888
19674873,0.9888
48046299,0.9888
14837847,0.9888
8423348,0.9888
48045984,0.9888
21515814,0.9888
8689721,0.9887
34208683,0.9887
43504700,0.9887
33265096,0.9887
28045275,0.9887
26569660,0.9887
25842408,0.9887
36386943,0.9887
33896284,0.9887
47803665,0.9887
21504964,0.9887
33339814,0.9887
5942736,0.9887
20859049,0.9887
40951253,0.9887
22292184,0.9887
33266533,0.9887
5344605,0.9887
34567121,0.9887
37057678,0.9887
33266351,0.9887
11991308,0.9887
4354998,0.9887
30977351,0.9887
30704574,0.9887
38799882,0.9887
45345130,0.9887
33896085,0.9887
17051894,0.9887
46998447,0.9886
47803161,0.9886
21613612,0.9886
47196989,0.9886
47196658,0.9886
985648,0.9886
22306286,0.9886
21966688,0.9886
19655172,0.9886
32171422,0.9886
22938629,0.9886
19567196,0.9886
46944406,0.9886
6103899,0.9885
28392597,0.9885
46973442,0.9885
13262699,0.9885
5965950,0.9885
31236947,0.9885
19283033,0.9885
21063566,0.9885
44475366,0.9885
14760262,0.9885
19359743,0.9885
46694038,0.9885
36309174,0.9885
34862782,0.9885
26708543,0.9885
31237272,0.9885
1486931,0.9885
22945395,0.9885
14265792,0.9885
16148434,0.9885
47115946,0.9884
26750833,0.9884
26259969,0.9884
42184287,0.9884
26260375,0.9884
47921360,0.9884
45453406,0.9884
44852800,0.9884
5251808,0.9884
26214070,0.9884
45397609,0.9884
38092417,0.9884
36354720,0.9884
1531582,0.9884
4030756,0.9884
16737229,0.9884
41426949,0.9884
15537875,0.9883
39178720,0.9883
2524564,0.9883
6277844,0.9883
31287121,0.9883
20748674,0.9883
18465618,0.9883
46710522,0.9883
7126453,0.9883
31285875,0.9883
45318102,0.9883
39586417,0.9883
26442575,0.9883
47178762,0.9882
45362703,0.9882
45576968,0.9882
45206101,0.9882
23694544,0.9882
34929342,0.9882
28465163,0.9882
3954077,0.9882
32239235,0.9882
39559984,0.9882
37149006,0.9882
1441596,0.9881
5383881,0.9881
4128839,0.9881
35827890,0.9881
14564854,0.9881
4997904,0.9881
17637352,0.9881
32616857,0.9881
43577270,0.9881
37915671,0.9881
14594697,0.9881
15115175,0.9881
23310396,0.9881
19972194,0.9881
5898448,0.9881
41940033,0.9881
30059721,0.9881
35685739,0.988
24318656,0.988
34222062,0.988
11624771,0.988
21809863,0.988
30040877,0.988
4624314,0.988
23375109,0.988
24230468,0.988
1668445,0.988
41962945,0.988
33344210,0.9879
21379854,0.9879
21276992,0.9879
41957448,0.9879
21378923,0.9879
21816330,0.9879
19388399,0.9879
16345663,0.9879
21379677,0.9879
41962580,0.9879
15001630,0.9879
47881406,0.9879
34926968,0.9879
20895835,0.9879
40695786,0.9879
13025708,0.9879
47829292,0.9879
15465463,0.9879
45608358,0.9879
28336797,0.9879
31850233,0.9879
43021100,0.9879
14127977,0.9879
41774016,0.9879
36672235,0.9879
27172198,0.9878
23336820,0.9878
21600578,0.9878
30064608,0.9878
4671883,0.9878
25550382,0.9878
19798186,0.9878
14011783,0.9878
17762866,0.9878
46196426,0.9878
75051,0.9878
30505646,0.9877
42092474,0.9877
27600820,0.9877
37402870,0.9877
45142434,0.9877
48049919,0.9877
36798460,0.9877
18653241,0.9877
47099212,0.9877
41596892,0.9877
12755113,0.9877
26300830,0.9876
45911625,0.9876
6286533,0.9876
30148934,0.9876
6692728,0.9876
16316014,0.9876
12667659,0.9876
9983766,0.9876
25170080,0.9876
2138766,0.9876
9294851,0.9876
6832491,0.9876
2045208,0.9876
1651958,0.9876
14077923,0.9875
7184034,0.9875
16203686,0.9875
30155406,0.9875
40533368,0.9875
13515991,0.9875
28409061,0.9875
30741085,0.9875
8517432,0.9875
14696426,0.9875
20459195,0.9875
24379222,0.9875
20362693,0.9875
19497395,0.9875
20998685,0.9875
46564746,0.9875
46082407,0.9875
41588898,0.9874
22189629,0.9874
40924089,0.9874
45218805,0.9874
31175715,0.9874
1299374,0.9874
12080044,0.9874
33887055,0.9874
31409031,0.9874
29516835,0.9874
22160449,0.9873
45362850,0.9873
40816256,0.9873
37123653,0.9873
42206221,0.9873
22593936,0.9873
46003878,0.9873
24334474,0.9873
4003821,0.9873
1053365,0.9873
41209726,0.9873
48081795,0.9873
41049850,0.9873
38465141,0.9872
42562431,0.9872
12610313,0.9872
5671121,0.9872
41860885,0.9872
33290840,0.9872
47927767,0.9872
15815612,0.9872
8272028,0.9872
43758436,0.9872
36234308,0.9872
25014043,0.9872
25976045,0.9872
13617615,0.9872
45469138,0.9872
33428152,0.9872
26259599,0.9872
21097412,0.9872
16079236,0.9872
39772318,0.9871
46392658,0.9871
14549864,0.9871
47473840,0.9871
48045616,0.9871
47537515,0.9871
48045447,0.9871
15678076,0.9871
48045548,0.9871
25517185,0.9871
48044927,0.9871
46358472,0.9871
956250,0.9871
48045357,0.9871
33850674,0.9871
9732211,0.9871
46328897,0.9871
48069954,0.9871
45752656,0.987
46724802,0.987
32842009,0.987
17381965,0.987
36661804,0.987
19345920,0.987
13824504,0.987
18547495,0.987
35064338,0.987
22261003,0.987
1966011,0.987
33648842,0.987
19250130,0.987
35008943,0.987
36395265,0.987
23992066,0.987
33548940,0.987
40586560,0.987
11467221,0.987
22674441,0.987
33472188,0.987
23017471,0.987
43460952,0.987
27404412,0.9869
908807,0.9869
6853434,0.9869
4257548,0.9869
39698982,0.9869
47543802,0.9869
29186162,0.9869
14202999,0.9869
8195595,0.9869
45567062,0.9869
47543956,0.9869
26029311,0.9869
15820419,0.9869
40133923,0.9869
44362202,0.9869
15156856,0.9869
18822601,0.9869
27761289,0.9869
14949093,0.9869
20522806,0.9869
22250435,0.9869
2223343,0.9869
2786035,0.9869
16853376,0.9869
1862196,0.9869
3971971,0.9869
47544010,0.9869
26741198,0.9868
37087128,0.9868
34510339,0.9868
40869579,0.9868
44226416,0.9868
19815012,0.9868
37604683,0.9868
24866615,0.9868
45294784,0.9868
42811723,0.9868
2874229,0.9868
3433957,0.9868
16087415,0.9867
24374076,0.9867
38047252,0.9867
33661822,0.9867
39674021,0.9867
30594050,0.9867
37153736,0.9867
42099864,0.9867
12962135,0.9867
6939805,0.9867
27758537,0.9867
21097739,0.9867
35373208,0.9867
5286926,0.9867
13005722,0.9867
32837348,0.9867
4860596,0.9867
4090549,0.9867
30506892,0.9867
40203191,0.9867
34041156,0.9867
26170714,0.9866
47871787,0.9866
23613295,0.9866
47533286,0.9866
3992907,0.9866
7044846,0.9866
27405873,0.9866
47919543,0.9866
45666197,0.9866
38800119,0.9866
5917524,0.9866
38800217,0.9866
48065818,0.9866
47997999,0.9866
35573372,0.9865
12899387,0.9865
30210648,0.9865
38463609,0.9865
26921093,0.9865
14789771,0.9865
5608011,0.9865
32297006,0.9865
45647849,0.9865
16267754,0.9865
47218251,0.9865
19401714,0.9865
4022585,0.9865
30376938,0.9865
37732847,0.9865
40726836,0.9864
30735736,0.9864
16540777,0.9864
20358266,0.9864
47063583,0.9864
40170599,0.9864
36182639,0.9864
18520456,0.9864
23000405,0.9864
20469485,0.9864
47803105,0.9863
46791994,0.9863
39947477,0.9863
45398018,0.9863
5670331,0.9863
47799976,0.9863
27373715,0.9863
3377125,0.9862
27080362,0.9862
20970643,0.9862
10745325,0.9862
10428248,0.9862
9821219,0.9862
17893264,0.9862
17512847,0.9862
46692130,0.9862
6737968,0.9862
14488992,0.9862
28202418,0.9862
7559817,0.9862
23001191,0.9862
38076531,0.9862
47831579,0.9862
47830591,0.9862
6810958,0.9862
19246993,0.9862
12064625,0.9862
20606896,0.9861
39780705,0.9861
46618878,0.9861
46632525,0.9861
47810173,0.9861
41092558,0.9861
26305218,0.9861
27568447,0.9861
27373047,0.9861
3109354,0.9861
40780135,0.9861
25190106,0.9861
45141256,0.9861
48043329,0.9861
26900626,0.9861
41127574,0.9861
38262217,0.986
38099854,0.986
10958345,0.986
29766009,0.986
40329593,0.986
36585431,0.986
13075056,0.986
23783136,0.986
43126283,0.986
12622496,0.986
40621046,0.986
4255587,0.986
31146323,0.986
22824764,0.986
32674281,0.986
47810873,0.986
7916836,0.986
14576562,0.986
41431152,0.986
33078036,0.986
10458594,0.986
32976222,0.986
13771259,0.986
1015594,0.9859
8942601,0.9859
1869711,0.9859
12133807,0.9859
22998360,0.9859
23595194,0.9859
40642067,0.9859
47795262,0.9859
45654746,0.9859
21612862,0.9859
26570309,0.9859
3340009,0.9859
26954132,0.9859
7292777,0.9859
44243138,0.9859
11137625,0.9859
9295372,0.9859
5587307,0.9859
12889875,0.9859
38291672,0.9859
64641,0.9859
32842154,0.9859
37448034,0.9859
45529053,0.9859
21096651,0.9859
41130834,0.9859
45989723,0.9859
28101865,0.9859
20653444,0.9859
42716138,0.9859
15704243,0.9859
20894836,0.9858
40834958,0.9858
31696910,0.9858
34278253,0.9858
33375198,0.9858
14915775,0.9858
47372213,0.9858
34910114,0.9858
37713919,0.9858
29780923,0.9858
13121978,0.9858
29817480,0.9858
47437741,0.9858
33902307,0.9858
19661967,0.9858
1431361,0.9858
850109,0.9858
15188473,0.9857
16345834,0.9857
35547554,0.9857
45151119,0.9857
34893938,0.9857
17794168,0.9857
4202456,0.9857
47834581,0.9857
12556850,0.9857
44318552,0.9857
12654056,0.9856
24470707,0.9856
45675955,0.9856
6991714,0.9856
10293648,0.9856
31320189,0.9856
45206287,0.9856
3282729,0.9856
18523342,0.9856
45575550,0.9856
23088978,0.9856
15467983,0.9856
45596388,0.9856
31494734,0.9856
20408164,0.9856
14586418,0.9856
14266137,0.9856
10106814,0.9856
23234034,0.9856
19141623,0.9856
25515406,0.9856
12567661,0.9856
30793897,0.9855
21254736,0.9855
43507697,0.9855
47077248,0.9855
19789113,0.9855
13813744,0.9855
23976786,0.9855
44115258,0.9855
22940282,0.9855
17643109,0.9855
7912118,0.9855
42178214,0.9855
37228097,0.9855
25937430,0.9855
33585810,0.9855
22084161,0.9854
37625665,0.9854
27521742,0.9854
12622930,0.9854
40728326,0.9854
182573,0.9854
31405109,0.9854
38122782,0.9854
42300729,0.9854
40843430,0.9854
28103918,0.9854
3924298,0.9854
24269512,0.9854
30458708,0.9854
22754879,0.9854
23706709,0.9854
9331921,0.9853
6090639,0.9853
3402103,0.9853
39231585,0.9853
5248426,0.9853
40705633,0.9853
21728090,0.9853
26158881,0.9853
47506685,0.9853
44030586,0.9853
21215838,0.9853
20830450,0.9853
15870170,0.9853
28095223,0.9853
11226618,0.9853
44478678,0.9853
7546596,0.9853
8534550,0.9853
44858917,0.9852
47844457,0.9852
29995155,0.9852
45978102,0.9852
21736962,0.9852
7493591,0.9852
48068037,0.9852
34444876,0.9852
18199620,0.9851
26133150,0.9851
13528484,0.9851
46104376,0.9851
26201543,0.9851
28978882,0.9851
37723685,0.9851
2997565,0.9851
18791219,0.9851
21781800,0.9851
46104149,0.9851
6678744,0.9851
3925001,0.9851
41351232,0.9851
46767658,0.9851
23860132,0.9851
28286296,0.9851
28412732,0.9851
18070830,0.9851
46103437,0.9851
19272648,0.9851
23041239,0.985
42039816,0.985
23039769,0.985
16309212,0.985
48068335,0.985
22282909,0.985
43105855,0.985
37720198,0.985
18907792,0.985
31831051,0.985
37381197,0.985
48046998,0.985
37709929,0.985
34673487,0.985
34997756,0.985
42659440,0.985
34621593,0.985
23002834,0.985
39650803,0.985
47802065,0.985
19702609,0.985
43256538,0.9849
15798296,0.9849
6953301,0.9849
1836298,0.9849
24058995,0.9849
37909843,0.9849
7093626,0.9849
43147246,0.9849
30592619,0.9849
20035472,0.9849
37360279,0.9849
13264942,0.9849
11004627,0.9849
22320550,0.9849
5069604,0.9849
229913,0.9849
18505194,0.9849
20653649,0.9849
18162134,0.9849
4676121,0.9849
30814273,0.9848
13619411,0.9848
43536044,0.9848
39678209,0.9848
15436342,0.9848
30429136,0.9848
20819057,0.9847
47967729,0.9847
22862061,0.9847
41901143,0.9847
26200421,0.9847
31928424,0.9847
214735,0.9847
18972306,0.9847
44591775,0.9847
22050850,0.9847
46238428,0.9847
46235796,0.9847
13940183,0.9847
27900641,0.9847
47967898,0.9847
15424052,0.9847
26777559,0.9847
7873957,0.9847
3120863,0.9847
1544959,0.9847
41670606,0.9847
10121791,0.9847
3307887,0.9847
21497739,0.9847
28353646,0.9847
38356377,0.9847
6834725,0.9847
34156591,0.9847
45975849,0.9847
41950208,0.9846
6988306,0.9846
32282107,0.9846
40506935,0.9846
37628193,0.9846
33743485,0.9846
13263823,0.9846
28367206,0.9846
3041513,0.9846
28384367,0.9846
36474502,0.9846
3939840,0.9846
34430782,0.9846
14406688,0.9846
36474377,0.9846
36474124,0.9846
36473238,0.9846
36472537,0.9846
27234010,0.9846
16670880,0.9846
22357218,0.9846
47923534,0.9846
23960258,0.9846
18492412,0.9846
7328249,0.9846
38983357,0.9846
41667972,0.9846
19337572,0.9846
36201014,0.9846
43147441,0.9846
18067475,0.9846
6502594,0.9846
45673120,0.9845
11318131,0.9845
26572152,0.9845
41711189,0.9845
13310015,0.9845
13417473,0.9845
42108690,0.9845
38124170,0.9845
9864534,0.9844
380910,0.9844
15813520,0.9844
31085065,0.9844
45117161,0.9844
45528597,0.9844
37283797,0.9844
47769671,0.9844
4922370,0.9844
45632990,0.9844
41351362,0.9844
47755359,0.9844
47767675,0.9844
15148236,0.9844
20292789,0.9844
38321908,0.9844
36880510,0.9844
22327664,0.9844
19487345,0.9844
8760412,0.9844
46618885,0.9844
38457635,0.9844
46525011,0.9844
43180106,0.9844
39948190,0.9844
47758346,0.9844
44168115,0.9844
40348310,0.9844
6462925,0.9844
6406028,0.9844
44963386,0.9844
7833833,0.9844
20664695,0.9844
4317973,0.9844
7832790,0.9844
31670437,0.9843
36631409,0.9843
5174516,0.9843
43459782,0.9843
24325178,0.9843
45127498,0.9843
1610027,0.9843
26329923,0.9843
31665000,0.9843
29605918,0.9843
27931219,0.9843
13776662,0.9843
17406201,0.9843
45275900,0.9843
12447108,0.9843
31764536,0.9843
37623381,0.9843
1552348,0.9843
46175716,0.9843
25662483,0.9843
23610699,0.9843
41353183,0.9842
20574668,0.9842
37606200,0.9842
15165467,0.9842
35335586,0.9842
14265901,0.9842
17795313,0.9842
3802093,0.9842
38437012,0.9842
24021311,0.9842
36530694,0.9842
26008743,0.9842
29010279,0.9842
